shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
1,40.743195,-74.122483,51,6.477745804626
1,40.743227,-74.123931,52,6.5535743306336
1,40.743313,-74.126464,53,6.6862984359562
1,40.743422,-74.128876,54,6.8127798997878
1,40.743189,-74.131670,55,6.9599163313356
1,40.743040,-74.133609,56,7.0619351354517
1,40.742705,-74.137631,57,7.2737382467837
1,40.742343,-74.141866,58,7.4968301478014
1,40.741907,-74.146797,59,7.7567018505745
1,40.741776,-74.148237,60,7.8326223687463
1,40.741379,-74.151334,61,7.9970443357593
1,40.741050,-74.152678,62,8.0709796821748
1,40.739435,-74.155847,63,8.2709040921876
1,40.739462,-74.155694,64,8.2791274693657
1,40.738693,-74.157311,65,8.3790679082434
1,40.737901,-74.158780,66,8.4734500981515
1,40.736340,-74.161117,67,8.6365428206219
1,40.734537,-74.163756,68,8.8225658570849
2,40.734568,-74.163714,0,0
2,40.736209,-74.161315,1,0.16919672890228
2,40.737840,-74.158819,2,0.34174189311588
2,40.739440,-74.155720,3,0.53805416580964
2,40.741014,-74.152653,4,0.73196815791358
2,40.741445,-74.151231,5,0.81214086265732
2,40.742742,-74.137058,6,1.5594382989713
2,40.743442,-74.128816,7,1.9935730027799
2,40.743030,-74.116701,8,2.6283771115536
2,40.741788,-74.104033,9,3.2970269711861
2,40.741172,-74.087506,10,4.16320990124
2,40.740739,-74.085206,11,4.287269675979
2,40.739377,-74.080313,12,4.5601468693587
2,40.738516,-74.076977,13,4.7446361911529
2,40.737689,-74.073884,14,4.9163389442188
2,40.736651,-74.070145,15,5.1248007437829
2,40.735677,-74.067375,16,5.2846664302879
2,40.734570,-74.065566,17,5.4063978772379
2,40.734219,-74.065116,18,5.4402075905995
2,40.733020,-74.062920,19,5.5819106855975
3,40.733010,-74.062864,0,0
3,40.733719,-74.064240,1,0.087114879794218
3,40.734226,-74.065091,2,0.14378855440544
3,40.734596,-74.065585,3,0.18015244203132
3,40.735637,-74.067340,4,0.29683302744736
3,40.736200,-74.068739,5,0.3797609210223
3,40.737021,-74.071379,6,0.52915417293154
3,40.738381,-74.076542,7,0.81530348132394
3,40.739776,-74.081847,8,1.1092629234362
3,40.740623,-74.084924,9,1.2806381511883
3,40.741153,-74.087380,10,1.4143162355885
3,40.741307,-74.091689,11,1.6401305516279
3,40.741494,-74.096962,12,1.916458127074
3,40.741732,-74.102578,13,2.2108970710287
3,40.741795,-74.104117,14,2.2915760436483
3,40.741907,-74.105110,15,2.3441290564182
3,40.742452,-74.110874,16,2.648193712216
3,40.743031,-74.116604,17,2.9507914304581
3,40.743195,-74.122483,18,3.2587396523439
3,40.743227,-74.123931,19,3.3345681783516
3,40.743313,-74.126464,20,3.4672922836741
3,40.743422,-74.128876,21,3.5937737475057
3,40.743189,-74.131670,22,3.7409101790535
3,40.743040,-74.133609,23,3.8429289831696
3,40.742705,-74.137631,24,4.0547320945016
3,40.742343,-74.141866,25,4.2778239955193
3,40.741907,-74.146797,26,4.5376956982924
3,40.741776,-74.148237,27,4.6136162164642
3,40.741379,-74.151334,28,4.7780381834772
3,40.741050,-74.152678,29,4.8519735298928
3,40.739435,-74.155847,30,5.0518979399056
